h3_index,geometry,centroid_lat,centroid_lon,population,population_density,median_income,income_band,age_median,target_age_fit,target_income_fit,road_length_km,road_density,highway_distance_km,highway_access_score,poi_count,competitor_count_500m,competitor_count_1km,competitor_count_2km,competitor_count_5km,complementary_count_500m,complementary_count_1km,complementary_count_2km,anchor_count_500m,anchor_count_1km,anchor_distance_km,competition_score,complementary_score,anchor_score,dominant_zone_class,commercial_area_pct,industrial_area_pct,residential_area_pct,flood_zone,in_sfha,flood_score,aqi,air_quality_score,human_evaluation_score
884898420dfffff,"POLYGON((-97.892704 30.637763, -97.887751 30.640510, -97.888087 30.645645, -97.893377 30.648034, -97.898330 30.645287, -97.897994 30.640151, -97.892704 30.637763))",30.642898,-97.893041,187,253.73,72143,middle,46.46,0.5809,0.8486,0.221,0.3,14.501,0.0136,1,0,0,0,0,0,0,0,0,0,25.48,0.4068,0.0,0.0,agricultural,2.84,0.0,52.6,X,False,0.7664,50.6,0.7646,2.4
8848984211fffff,"POLYGON((-97.919831 30.659974, -97.914877 30.662722, -97.915215 30.667857, -97.920507 30.670245, -97.925461 30.667497, -97.925123 30.662362, -97.919831 30.659974))",30.665109,-97.920169,286,388.06,78959,middle,43.93,0.5781,0.9636,0.221,0.3,16.959,0.0,2,0,0,0,0,0,0,0,0,0,28.617,0.4193,0.0,0.0,agricultural,10.25,0.0,0.0,X,False,0.8497,56.8,0.705,3.8
8848984213fffff,"POLYGON((-97.925461 30.667497, -97.920507 30.670245, -97.920845 30.675380, -97.926138 30.677767, -97.931092 30.675020, -97.930754 30.669884, -97.925461 30.667497))",30.672632,-97.9258,91,123.47,90886,middle,50.96,0.2197,0.7658,0.221,0.3,17.634,0.0,1,0,0,0,0,0,0,0,0,0,29.993,0.443,0.0058,0.0606,agricultural,20.5,0.0,22.15,X,False,0.9177,45.8,0.8434,3.7
8848984215fffff,"POLYGON((-97.909586 30.660334, -97.904632 30.663081, -97.904969 30.668216, -97.910261 30.670604, -97.915215 30.667857, -97.914877 30.662722, -97.909586 30.660334))",30.665469,-97.909923,98,132.97,87523,middle,40.44,0.8383,0.6928,0.221,0.3,16.124,0.0935,6,0,0,0,0,1,1,1,0,0,28.042,0.5085,0.1881,0.012,agricultural,2.98,17.96,38.35,X,False,0.7827,51.1,0.7769,4.2
8848984217fffff,"POLYGON((-97.915215 30.667857, -97.910261 30.670604, -97.910598 30.675739, -97.915891 30.678127, -97.920845 30.675380, -97.920507 30.670245, -97.915215 30.667857))",30.672992,-97.915553,193,261.87,78809,middle,46.87,0.5471,0.7612,0.829,1.125,16.531,0.0661,4,0,0,0,0,0,0,0,0,0,29.188,0.4793,0.0,0.0326,industrial,12.86,34.97,0.0,X,False,0.8488,48.3,0.805,3.8
8848984219fffff,"POLYGON((-97.924447 30.652090, -97.919493 30.654838, -97.919831 30.659974, -97.925123 30.662362, -97.930077 30.659613, -97.929739 30.654478, -97.924447 30.652090))",30.657226,-97.924785,149,202.17,78238,middle,44.74,0.5538,0.8307,0.221,0.3,17.462,0.0295,3,0,0,0,0,0,0,0,0,0,28.601,0.3181,0.0,0.0099,industrial,5.62,39.67,15.91,X,False,0.8713,53.7,0.7846,5.4
884898421bfffff,"POLYGON((-97.930077 30.659613, -97.925123 30.662362, -97.925461 30.667497, -97.930754 30.669884, -97.935708 30.667136, -97.935369 30.662001, -97.930077 30.659613))",30.664749,-97.930415,107,145.18,69176,lower_middle,44.28,0.6034,0.9321,0.221,0.3,17.856,0.0346,5,0,0,0,0,0,0,0,0,0,29.557,0.4035,0.0125,0.0,agricultural,25.67,13.66,0.0,X,False,0.853,50.7,0.7823,4.0
884898421dfffff,"POLYGON((-97.914202 30.652451, -97.909249 30.655198, -97.909586 30.660334, -97.914877 30.662722, -97.919831 30.659974, -97.919493 30.654838, -97.914202 30.652451))",30.657586,-97.91454,202,274.08,73741,middle,45.61,0.5713,0.869,0.653,0.886,16.506,0.0,2,0,0,0,0,0,0,0,0,0,27.477,0.4548,0.0116,0.0026,agricultural,20.77,0.0,21.97,0.2 PCT ANNUAL CHANCE,False,0.7599,43.4,0.8439,3.2
8848984221fffff,"POLYGON((-97.873227 30.653884, -97.868274 30.656630, -97.868609 30.661765, -97.873899 30.664154, -97.878853 30.661408, -97.878517 30.656273, -97.873227 30.653884))",30.659019,-97.873563,223,302.58,65819,lower_middle,42.78,0.6966,0.9844,0.221,0.3,12.874,0.0,0,0,0,0,0,0,0,0,0,0,25.016,0.3443,0.0706,0.0,agricultural,0.0,0.0,45.48,X,False,0.8319,38.9,0.9522,4.5
8848984223fffff,"POLYGON((-97.878853 30.661408, -97.873899 30.664154, -97.874235 30.669289, -97.879525 30.671678, -97.884479 30.668932, -97.884143 30.663797, -97.878853 30.661408))",30.666543,-97.879189,199,270.01,71273,middle,44.33,0.6344,0.9445,0.221,0.3,13.326,0.0,5,0,0,0,0,0,0,0,0,0,26.082,0.436,0.0,0.0,agricultural,0.0,0.0,22.35,X,False,0.8001,47.5,0.803,3.4
8848984225fffff,"POLYGON((-97.862985 30.654240, -97.858031 30.656985, -97.858366 30.662120, -97.863656 30.664510, -97.868609 30.661765, -97.868274 30.656630, -97.862985 30.654240))",30.659375,-97.86332,412,559.02,70736,middle,48.1,0.4692,0.8178,0.221,0.3,11.825,0.04,2,0,0,0,0,0,0,0,0,0,24.485,0.4354,0.0,0.0167,agricultural,31.88,0.0,0.0,X,False,0.765,50.8,0.8218,2.8
8848984227fffff,"POLYGON((-97.868609 30.661765, -97.863656 30.664510, -97.863991 30.669645, -97.869281 30.672034, -97.874235 30.669289, -97.873899 30.664154, -97.868609 30.661765))",30.666899,-97.868945,127,172.32,88455,middle,48.96,0.3811,0.7503,1.406,1.908,12.691,0.0474,1,0,0,0,1,0,0,0,0,0,25.086,0.5154,0.0,0.0338,agricultural,25.13,1.06,0.0,X,False,0.8545,55.7,0.7551,3.5
8848984229fffff,"POLYGON((-97.877845 30.646003, -97.872892 30.648749, -97.873227 30.653884, -97.878517 30.656273, -97.883470 30.653527, -97.883134 30.648392, -97.877845 30.646003))",30.651138,-97.878181,344,466.76,68268,lower_middle,44.07,0.6443,0.9398,0.221,0.3,13.387,0.0,0,0,0,0,0,0,0,0,0,0,24.736,0.4144,0.0426,0.0007,residential,0.0,25.19,43.16,X,False,0.9037,41.3,0.8217,2.8
884898422bfffff,"POLYGON((-97.883470 30.653527, -97.878517 30.656273, -97.878853 30.661408, -97.884143 30.663797, -97.889097 30.661051, -97.888760 30.655916, -97.883470 30.653527))",30.658662,-97.883807,84,113.98,79303,middle,38.88,0.8542,0.8638,0.625,0.848,13.832,0.0,4,0,0,0,0,0,1,1,0,1,25.94,0.4194,0.2268,0.0053,industrial,0.0,26.85,0.0,X,False,0.9102,50.7,0.7322,4.8
884898422dfffff,"POLYGON((-97.867603 30.646360, -97.862650 30.649105, -97.862985 30.654240, -97.868274 30.656630, -97.873227 30.653884, -97.872892 30.648749, -97.867603 30.646360))",30.651495,-97.867938,165,223.88,68817,lower_middle,40.99,0.8132,1.0,0.221,0.3,12.329,0.0182,4,0,0,0,0,0,0,0,0,1,23.964,0.3412,0.0,0.0477,agricultural,4.79,0.0,0.0,X,False,0.7652,51.1,0.8007,3.2
8848984231fffff,"POLYGON((-97.894724 30.668574, -97.889770 30.671321, -97.890106 30.676456, -97.895398 30.678844, -97.900352 30.676098, -97.900015 30.670963, -97.894724 30.668574))",30.673709,-97.895061,407,552.24,67351,lower_middle,52.0,0.3138,1.0,1.668,2.263,14.783,0.0194,1,0,0,0,0,0,0,1,0,0,27.892,0.4073,0.1596,0.0287,industrial,0.0,41.06,13.09,X,False,0.862,47.4,0.7977,4.2
8848984233fffff,"POLYGON((-97.900352 30.676098, -97.895398 30.678844, -97.895735 30.683979, -97.901026 30.686368, -97.905981 30.683621, -97.905644 30.678486, -97.900352 30.676098))",30.681233,-97.900689,252,341.93,85572,middle,46.86,0.5197,0.7514,1.177,1.597,15.365,0.0138,2,0,0,0,0,0,0,0,0,0,28.355,0.4258,0.0,0.0049,agricultural,24.07,0.0,24.74,X,False,0.9494,42.5,0.7955,4.2
8848984235fffff,"POLYGON((-97.884479 30.668932, -97.879525 30.671678, -97.879861 30.676813, -97.885152 30.679202, -97.890106 30.676456, -97.889770 30.671321, -97.884479 30.668932))",30.674067,-97.884816,268,363.64,67610,lower_middle,48.73,0.3967,0.9348,0.407,0.552,13.951,0.0315,3,0,1,1,1,0,0,0,0,0,27.086,0.6754,0.0,0.0,agricultural,0.0,0.0,10.83,X,False,0.7871,56.7,0.7529,2.8
8848984237fffff,"POLYGON((-97.890106 30.676456, -97.885152 30.679202, -97.885488 30.684336, -97.890780 30.686725, -97.895735 30.683979, -97.895398 30.678844, -97.890106 30.676456))",30.68159,-97.890443,230,312.08,59891,lower_middle,44.94,0.5565,0.9425,0.221,0.3,14.124,0.0346,1,0,0,0,0,0,0,0,0,0,28.15,0.3724,0.0,0.0091,agricultural,17.76,0.0,38.97,0.2 PCT ANNUAL CHANCE,False,0.5681,57.1,0.7014,3.3
8848984239fffff,"POLYGON((-97.899341 30.660693, -97.894387 30.663439, -97.894724 30.668574, -97.900015 30.670963, -97.904969 30.668216, -97.904632 30.663081, -97.899341 30.660693))",30.665828,-97.899678,224,303.93,62177,lower_middle,51.99,0.3052,0.9401,1.115,1.513,15.249,0.0548,5,0,0,0,0,0,0,0,0,0,27.472,0.4491,0.0,0.0,commercial,37.03,13.12,20.67,X,False,0.9493,50.2,0.7762,2.9
884898423bfffff,"POLYGON((-97.904969 30.668216, -97.900015 30.670963, -97.900352 30.676098, -97.905644 30.678486, -97.910598 30.675739, -97.910261 30.670604, -97.904969 30.668216))",30.673351,-97.905307,125,169.61,68417,lower_middle,41.0,0.7969,0.941,1.285,1.744,15.854,0.0025,5,0,0,0,0,0,0,0,0,0,28.55,0.461,0.0,0.0311,agricultural,0.0,0.0,49.49,X,False,0.8525,47.0,0.8063,3.0
884898423dfffff,"POLYGON((-97.889097 30.661051, -97.884143 30.663797, -97.884479 30.668932, -97.889770 30.671321, -97.894724 30.668574, -97.894387 30.663439, -97.889097 30.661051))",30.666186,-97.889433,198,268.66,70888,middle,48.33,0.297,0.992,0.221,0.3,13.98,0.0075,6,1,1,1,1,0,1,1,0,0,26.308,0.6167,0.1673,0.002,agricultural,7.86,0.0,50.65,X,False,0.7912,53.8,0.7253,2.7
8848984241fffff,"POLYGON((-97.901935 30.621996, -97.896983 30.624744, -97.897320 30.629880, -97.902609 30.632268, -97.907562 30.629520, -97.907225 30.624384, -97.901935 30.621996))",30.627132,-97.902272,237,321.57,69352,lower_middle,43.13,0.6834,0.9278,1.599,2.169,15.225,0.0,3,0,0,0,0,0,1,1,0,0,25.293,0.3818,0.2015,0.0328,agricultural,0.0,0.0,0.0,X,False,0.8823,51.1,0.7714,4.4
8848984243fffff,"POLYGON((-97.907562 30.629520, -97.902609 30.632268, -97.902946 30.637404, -97.908236 30.639792, -97.913189 30.637044, -97.912852 30.631908, -97.907562 30.629520))",30.634656,-97.907899,240,325.64,73720,middle,48.82,0.4766,0.935,0.221,0.3,15.669,0.0604,7,0,0,1,2,0,0,0,0,0,25.703,0.5692,0.0,0.0143,agricultural,42.38,0.0,0.0,X,False,0.7975,45.8,0.7862,4.7
8848984245fffff,"POLYGON((-97.891694 30.622356, -97.886742 30.625103, -97.887078 30.630239, -97.892367 30.632627, -97.897320 30.629880, -97.896983 30.624744, -97.891694 30.622356))",30.627491,-97.892031,123,166.89,87026,middle,48.17,0.4126,0.8679,0.221,0.3,14.545,0.0059,2,0,0,0,0,0,0,0,0,0,24.79,0.4415,0.0112,0.0192,agricultural,0.0,2.43,0.0,X,False,0.807,57.2,0.6792,3.3
8848984247fffff,"POLYGON((-97.897320 30.629880, -97.892367 30.632627, -97.892704 30.637763, -97.897994 30.640151, -97.902946 30.637404, -97.902609 30.632268, -97.897320 30.629880))",30.635016,-97.897657,227,308.01,75793,middle,42.37,0.7886,0.8271,0.531,0.721,14.929,0.0239,5,0,0,0,0,1,1,1,0,0,25.291,0.5011,0.1883,0.0227,agricultural,26.84,0.0,18.4,X,False,0.9119,45.7,0.8085,4.2
8848984249fffff,"POLYGON((-97.906550 30.614112, -97.901598 30.616860, -97.901935 30.621996, -97.907225 30.624384, -97.912177 30.621636, -97.911839 30.616500, -97.906550 30.614112))",30.619248,-97.906887,341,462.69,61586,lower_middle,45.63,0.594,0.9828,0.221,0.3,15.691,0.0074,5,0,0,0,0,0,0,1,0,0,25.044,0.4232,0.1599,0.0,industrial,0.0,26.25,0.0,X,False,0.758,48.2,0.8036,4.0
884898424bfffff,"POLYGON((-97.912177 30.621636, -97.907225 30.624384, -97.907562 30.629520, -97.912852 30.631908, -97.917804 30.629160, -97.917467 30.624024, -97.912177 30.621636))",30.626772,-97.912514,276,374.49,79660,middle,46.41,0.6328,0.7785,1.938,2.629,16.055,0.031,5,0,0,0,0,1,1,1,0,0,26.275,0.3988,0.1376,0.003,commercial,33.96,25.03,6.99,X,False,0.7755,53.5,0.7543,4.4
884898424dfffff,"POLYGON((-97.896310 30.614472, -97.891358 30.617220, -97.891694 30.622356, -97.896983 30.624744, -97.901935 30.621996, -97.901598 30.616860, -97.896310 30.614472))",30.619608,-97.896646,318,431.48,69659,lower_middle,43.04,0.6223,0.8713,1.248,1.694,14.614,0.0,5,0,0,0,0,0,0,0,0,0,24.253,0.3967,0.0,0.0012,industrial,4.21,26.05,24.24,X,False,0.8127,45.3,0.839,3.6
8848984251fffff,"POLYGON((-97.923433 30.636683, -97.918480 30.639432, -97.918818 30.644567, -97.924109 30.646955, -97.929062 30.644206, -97.928724 30.639071, -97.923433 30.636683))",30.641819,-97.923771,247,335.14,71153,middle,43.98,0.5878,0.957,0.221,0.3,17.291,0.0,2,0,0,0,0,0,0,0,0,0,27.706,0.4707,0.0,0.0,agricultural,13.35,0.0,0.0,X,False,0.9493,47.6,0.8179,2.8
8848984253fffff,"POLYGON((-97.929062 30.644206, -97.924109 30.646955, -97.924447 30.652090, -97.929739 30.654478, -97.934692 30.651729, -97.934354 30.646594, -97.929062 30.644206))",30.649342,-97.9294,194,263.23,76588,middle,41.93,0.7542,0.9078,0.221,0.3,17.74,0.0461,4,0,0,0,0,1,1,1,0,0,28.923,0.4278,0.2243,0.0044,agricultural,0.0,0.0,34.77,X,False,0.7798,55.3,0.6818,2.3
8848984255fffff,"POLYGON((-97.913189 30.637044, -97.908236 30.639792, -97.908574 30.644927, -97.913865 30.647315, -97.918818 30.644567, -97.918480 30.639432, -97.913189 30.637044))",30.64218,-97.913527,283,383.99,83049,middle,50.34,0.3375,0.766,1.682,2.282,16.518,0.0,3,0,0,0,0,0,0,0,0,0,26.819,0.4178,0.0,0.0142,agricultural,0.0,13.62,0.0,X,False,0.9049,59.1,0.6448,4.1
8848984257fffff,"POLYGON((-97.918818 30.644567, -97.913865 30.647315, -97.914202 30.652451, -97.919493 30.654838, -97.924447 30.652090, -97.924109 30.646955, -97.918818 30.644567))",30.649703,-97.919156,305,413.84,74718,middle,42.96,0.6445,0.936,0.221,0.3,16.974,0.0472,6,0,0,0,0,0,0,1,0,1,27.76,0.4334,0.1729,0.0,agricultural,0.0,0.0,0.0,X,False,0.7981,49.6,0.7742,4.8
8848984259fffff,"POLYGON((-97.928047 30.628799, -97.923095 30.631547, -97.923433 30.636683, -97.928724 30.639071, -97.933677 30.636322, -97.933338 30.631186, -97.928047 30.628799))",30.633935,-97.928386,240,325.64,79556,middle,46.18,0.5504,0.8801,0.221,0.3,17.561,0.043,8,0,0,0,0,0,2,2,0,0,27.565,0.4346,0.4021,0.0288,agricultural,0.0,14.74,31.64,X,False,0.7354,53.8,0.7246,3.8
884898425bfffff,"POLYGON((-97.933677 30.636322, -97.928724 30.639071, -97.929062 30.644206, -97.934354 30.646594, -97.939307 30.643845, -97.938968 30.638709, -97.933677 30.636322))",30.641458,-97.934015,184,249.66,66966,lower_middle,47.43,0.5642,0.9979,1.205,1.636,18.025,0.0191,5,0,0,0,0,0,0,1,0,0,28.439,0.4347,0.1948,0.0,residential,0.0,29.44,35.22,X,False,0.9088,52.2,0.7278,3.9
884898425dfffff,"POLYGON((-97.917804 30.629160, -97.912852 30.631908, -97.913189 30.637044, -97.918480 30.639432, -97.923433 30.636683, -97.923095 30.631547, -97.917804 30.629160))",30.634296,-97.918142,325,440.98,69553,lower_middle,47.6,0.4229,0.9484,1.704,2.312,16.661,0.0567,4,0,0,0,0,0,0,1,0,0,26.669,0.399,0.206,0.0327,agricultural,14.06,0.0,34.84,X,False,0.8872,44.4,0.8495,4.7
8848984261fffff,"POLYGON((-97.876837 30.630597, -97.871885 30.633343, -97.872220 30.638478, -97.877509 30.640867, -97.882462 30.638121, -97.882126 30.632985, -97.876837 30.630597))",30.635732,-97.877173,224,303.93,73490,middle,38.55,0.9004,0.8983,0.535,0.725,13.007,0.0,2,0,0,0,0,0,0,0,0,0,23.581,0.4418,0.0491,0.0166,agricultural,0.0,0.0,0.0,X,False,0.8044,49.6,0.8291,3.7
8848984263fffff,"POLYGON((-97.882462 30.638121, -97.877509 30.640867, -97.877845 30.646003, -97.883134 30.648392, -97.888087 30.645645, -97.887751 30.640510, -97.882462 30.638121))",30.643256,-97.882798,189,256.45,72073,middle,48.66,0.5261,0.8557,0.244,0.331,13.434,0.0165,5,0,0,0,0,0,0,1,0,0,24.454,0.4355,0.1483,0.0121,residential,15.56,10.99,39.49,X,False,0.8726,37.5,0.9327,3.9
8848984265fffff,"POLYGON((-97.866597 30.630954, -97.861644 30.633700, -97.861979 30.638835, -97.867267 30.641224, -97.872220 30.638478, -97.871885 30.633343, -97.866597 30.630954))",30.636089,-97.866932,201,272.73,76151,middle,47.84,0.3437,0.8256,0.507,0.688,12.249,0.0919,5,0,0,0,0,0,0,0,0,0,22.788,0.4238,0.0,0.0206,agricultural,28.63,0.0,12.43,X,False,0.8814,48.1,0.8336,3.9
8848984267fffff,"POLYGON((-97.872220 30.638478, -97.867267 30.641224, -97.867603 30.646360, -97.872892 30.648749, -97.877845 30.646003, -97.877509 30.640867, -97.872220 30.638478))",30.643614,-97.872556,291,394.84,59254,lower_middle,49.36,0.3573,0.889,0.549,0.744,12.509,0.0,0,0,0,0,0,0,0,0,0,0,24.385,0.4184,0.0542,0.0,agricultural,0.0,0.0,39.57,X,False,0.7745,58.3,0.6581,3.1
8848984269fffff,"POLYGON((-97.881454 30.622714, -97.876501 30.625461, -97.876837 30.630597, -97.882126 30.632985, -97.887078 30.630239, -97.886742 30.625103, -97.881454 30.622714))",30.62785,-97.88179,377,511.53,70564,middle,48.01,0.5134,1.0,0.393,0.533,13.564,0.0305,4,0,0,0,0,0,0,0,0,0,23.467,0.4447,0.0219,0.0128,agricultural,0.0,0.0,0.0,X,False,0.8802,42.1,0.9032,3.6
884898426bfffff,"POLYGON((-97.887078 30.630239, -97.882126 30.632985, -97.882462 30.638121, -97.887751 30.640510, -97.892704 30.637763, -97.892367 30.632627, -97.887078 30.630239))",30.635374,-97.887415,143,194.03,83248,middle,43.09,0.6925,0.7511,0.221,0.3,14.074,0.044,2,0,0,0,0,0,0,1,0,0,24.514,0.441,0.1661,0.0,agricultural,0.0,0.0,0.0,X,False,0.8458,49.2,0.7852,2.9
884898426dfffff,"POLYGON((-97.871213 30.623072, -97.866261 30.625818, -97.866597 30.630954, -97.871885 30.633343, -97.876837 30.630597, -97.876501 30.625461, -97.871213 30.623072))",30.628208,-97.871549,153,207.6,70252,middle,45.97,0.5249,0.9792,1.038,1.408,12.585,0.0369,3,0,0,0,0,0,0,0,0,0,22.654,0.4491,0.0684,0.0198,agricultural,30.51,1.9,11.68,X,False,0.8698,52.7,0.7666,3.9
88489842c1fffff,"POLYGON((-97.941340 30.674659, -97.936385 30.677407, -97.936724 30.682542, -97.942018 30.684929, -97.946973 30.682181, -97.946633 30.677045, -97.941340 30.674659))",30.679794,-97.941679,259,351.42,96299,middle,42.5,0.6992,0.6029,0.221,0.3,18.9,0.0475,2,0,0,0,0,0,1,1,0,1,30.0,0.4025,0.1855,0.0,agricultural,0.0,0.0,18.96,X,False,0.8439,41.6,0.8323,3.5
88489842c5fffff,"POLYGON((-97.931092 30.675020, -97.926138 30.677767, -97.926476 30.682903, -97.931769 30.685290, -97.936724 30.682542, -97.936385 30.677407, -97.931092 30.675020))",30.680155,-97.931431,204,276.8,70268,middle,46.36,0.5834,0.9126,0.763,1.036,18.121,0.0876,4,0,0,0,0,0,0,1,0,1,30.0,0.4444,0.174,0.0309,industrial,0.0,38.44,22.3,X,False,0.7503,47.6,0.8092,5.2
